 min max x   3.99979162    
 min max y   3.99916649    
           1  -1.04169376E-04  -4.16710071E-04
           2  -1.04169376E-04   1.99958324    
           3   1.99989581      -4.16710071E-04
           4   1.99989581       1.99958324    
 building number           1 it           1 xc,yc  0.845450044      0.970658600    
 building number           2 it           2 xc,yc  0.851831734       1.27818596    
 building number           3 it           3 xc,yc   2.79229116       3.27129388    
 building number           4 it           4 xc,yc   1.79690278       1.52361846    
 building number           5 it           5 xc,yc   3.21463299      0.130090743    
 building number           6 it           6 xc,yc   3.12125468      0.748936474    
 building number           7 it           7 xc,yc  0.301182300       2.38603616    
 building number           8 it           8 xc,yc   3.30436730       3.27040768    
 building number           9 it           9 xc,yc   2.99704885       2.80049348    
 building number          10 it          10 xc,yc  0.379207909       3.51760983    
 building number          11 it          11 xc,yc   3.07633781       2.22317219    
 building number          12 it          12 xc,yc  0.659504950      0.547747970    
 building number          13 it          13 xc,yc   1.69241595       2.63316154    
 building number          14 it          14 xc,yc   2.61239171       1.28683901    
 building number          15 it          15 xc,yc   2.19252443      0.103211164    
 building number          16 it          16 xc,yc   2.81162930       3.58636427    
 building number          17 it          17 xc,yc   2.75494099       1.97251689    
 building number          18 it          18 xc,yc  0.416856885       2.13639832    
 building number          19 it          19 xc,yc   1.26253581       1.22720385    
 building number          20 it          20 xc,yc   1.50095618       1.18129015    
 building number          21 it          21 xc,yc   1.97719753       2.49197555    
 building number          22 it          22 xc,yc   1.33654773       3.68797326    
 building number          23 it          24 xc,yc  0.771471858       2.97611046    
 building number          24 it          25 xc,yc   1.88347316       1.08587909    
 building number          25 it          26 xc,yc   1.11909771      0.876669288    
 building number          26 it          27 xc,yc   1.54359972       3.59117365    
 building number          27 it          28 xc,yc  0.505540252       2.85347390    
 building number          28 it          29 xc,yc   3.31108403       1.53087187    
 building number          29 it          30 xc,yc   3.52962160       3.50373554    
 building number          30 it          31 xc,yc   1.34456789      0.915739417    
 building number          31 it          32 xc,yc  0.487833261       3.22039509    
 building number          32 it          33 xc,yc   1.70262730       2.35510945    
 building number          33 it          34 xc,yc   1.78233969       1.23859417    
 building number          34 it          35 xc,yc  0.998324573       3.33180976    
 building number          35 it          36 xc,yc   1.99703562       3.58274341    
 building number          36 it          39 xc,yc   1.14537668       3.28771186    
 building number          37 it          40 xc,yc   2.13354278       2.01531315    
 building number          38 it          41 xc,yc   3.22007108       3.73387671    
 building number          39 it          42 xc,yc   1.27886117      0.569799662    
 building number          40 it          43 xc,yc  0.842183173       3.40198421    
 building number          41 it          44 xc,yc   2.58117723       3.86449218    
 building number          42 it          45 xc,yc  0.962988973       1.51026058    
 building number          43 it          46 xc,yc   1.98763573       2.19964600    
 building number          44 it          47 xc,yc   3.82082057      0.385561079    
 building number          45 it          48 xc,yc  0.349490762      0.613799393    
 building number          46 it          50 xc,yc   2.54197359       1.98399878    
 building number          47 it          51 xc,yc   3.78287458      0.582644165    
 building number          48 it          52 xc,yc  0.151494503      0.113695838    
 building number          49 it          53 xc,yc   2.78895235      0.590050220    
 building number          50 it          54 xc,yc   3.44157219       1.96283710    
 building number          51 it          55 xc,yc  0.679981530      0.893674791    
 building number          52 it          59 xc,yc  0.743881285       1.45161331    
 building number          53 it          60 xc,yc   1.28349876       2.12551498    
 building number          54 it          61 xc,yc   3.49298096       2.68886137    
 building number          55 it          62 xc,yc   3.72100592       3.66227579    
 building number          56 it          63 xc,yc   1.63822126      0.910668194    
 building number          57 it          65 xc,yc   3.83095908       2.75193429    
 building number          58 it          69 xc,yc  0.769724965      0.301937133    
 building number          59 it          70 xc,yc   1.79048002      0.521157920    
 building number          60 it          71 xc,yc   3.64934182       2.47878408    
 building number          61 it          72 xc,yc   2.40939546      0.769842923    
 building number          62 it          73 xc,yc  0.909893513       3.04653740    
 building number          63 it          74 xc,yc  0.782552123       2.00544357    
 building number          64 it          75 xc,yc   3.79523540       2.07490206    
 building number          65 it          76 xc,yc   2.16342306       3.82748032    
 building number          66 it          77 xc,yc   2.49004841      0.208859041    
 building number          67 it          78 xc,yc  0.315014005       1.82923090    
 building number          68 it          79 xc,yc   2.80541801       2.31184602    
 building number          69 it          80 xc,yc  0.158654898       2.05825639    
 building number          70 it          83 xc,yc   2.01072526      0.609174073    
 building number          71 it          84 xc,yc  0.761972606       3.76761103    
 building number          72 it          86 xc,yc   3.33841968       2.57361317    
 building number          73 it          87 xc,yc   1.75948787       3.00883007    
 building number          74 it          89 xc,yc   1.66310859       2.85297608    
 building number          75 it          90 xc,yc  0.244052216      0.998367071    
 building number          76 it          91 xc,yc   2.92950535       2.12979627    
 building number          77 it          92 xc,yc   2.16919637       1.50942516    
 building number          78 it          94 xc,yc   1.92738354       1.84492934    
